Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,31485.150390625,31489.599609375,30893.650390625,31212.44921875,31212.44921875,0
2021-01-05,31041.099609375,31767.650390625,30935.55078125,31722.25,31722.25,0
2021-01-06,31839.94921875,31982.30078125,31548.150390625,31797.900390625,31797.900390625,0
2021-01-07,32129.80078125,32177.400390625,31911.5,31956.0,31956.0,0
2021-01-08,32298.05078125,32298.05078125,32002.94921875,32084.19921875,32084.19921875,0
2021-01-11,32280.30078125,32288.44921875,31836.94921875,31998.900390625,31998.900390625,0
2021-01-12,31835.05078125,32397.94921875,31725.849609375,32339.0,32339.0,0
2021-01-13,32546.599609375,32683.5,32148.25,32574.650390625,32574.650390625,0
2021-01-14,32526.69921875,32718.94921875,32442.349609375,32519.75,32519.75,0
2021-01-15,32508.900390625,32544.80078125,32044.349609375,32246.80078125,32246.80078125,0
2021-01-18,32275.150390625,32441.5,31650.900390625,31811.75,31811.75,396800
2021-01-19,32082.900390625,32464.94921875,31863.94921875,32424.849609375,32424.849609375,354800
2021-01-20,32388.94921875,32607.44921875,32322.900390625,32543.69921875,32543.69921875,0
2021-01-21,32732.80078125,32842.30078125,31985.55078125,32186.900390625,32186.900390625,0
2021-01-22,32088.0,32131.400390625,31119.900390625,31167.25,31167.25,0
2021-01-25,31507.150390625,31697.55078125,31013.650390625,31198.400390625,31198.400390625,0
2021-01-27,31236.25,31287.05078125,30165.650390625,30284.55078125,30284.55078125,0
2021-01-28,29812.30078125,30464.400390625,29687.69921875,30358.30078125,30358.30078125,0
2021-01-29,30700.650390625,31111.94921875,30254.55078125,30565.5,30565.5,0
2021-02-01,30976.349609375,33305.30078125,30906.44921875,33089.05078125,33089.05078125,0
2021-02-02,33589.05078125,34652.5,33583.1484375,34267.8984375,34267.8984375,672200
2021-02-03,34555.6015625,34908.05078125,34011.8984375,34758.44921875,34758.44921875,605200
2021-02-04,34548.8984375,35413.1484375,34238.8984375,35344.80078125,35344.80078125,0
2021-02-05,35634.94921875,36615.19921875,35545.0,35654.5,35654.5,0
2021-02-08,36073.8515625,36466.44921875,35872.25,35983.6484375,35983.6484375,0
2021-02-09,36058.80078125,36477.1484375,35636.8515625,36056.5,36056.5,0
2021-02-10,36042.3515625,36227.19921875,35428.1484375,35783.1015625,35783.1015625,0
2021-02-11,35687.25,36009.44921875,35573.30078125,35752.1015625,35752.1015625,0
2021-02-12,35736.6015625,36322.80078125,35700.25,36108.8984375,36108.8984375,0
2021-02-15,36501.3984375,37449.8984375,36405.1015625,37306.25,37306.25,0
2021-02-16,37492.6015625,37708.75,36762.75,37098.3984375,37098.3984375,0
2021-02-17,37041.94921875,37331.44921875,36764.25,36910.94921875,36910.94921875,0
2021-02-18,37088.75,37108.75,36367.44921875,36587.0,36587.0,0
2021-02-19,36371.55078125,36656.19921875,35584.6015625,35841.6015625,35841.6015625,0
2021-02-22,35874.30078125,36128.8984375,35097.55078125,35257.19921875,35257.19921875,0
2021-02-23,35540.55078125,35680.8515625,34976.0,35116.94921875,35116.94921875,0
2021-02-24,35205.3984375,36567.6484375,35060.6484375,36452.30078125,36452.30078125,272900
2021-02-25,36763.1484375,37232.19921875,36494.0,36549.0,36549.0,455900
2021-02-26,35806.6484375,35902.8984375,34658.69921875,34803.6015625,34803.6015625,0
2021-03-01,35374.25,35581.1015625,34983.75,35296.0,35296.0,0
2021-03-02,35458.1484375,35747.05078125,35002.44921875,35419.69921875,35419.69921875,0
2021-03-03,35754.44921875,36455.1484375,35570.55078125,36368.05078125,36368.05078125,0
2021-03-04,35575.6484375,36316.3984375,35519.25,35802.5,35802.5,0
2021-03-05,35458.5,35616.05078125,34893.25,35228.1484375,35228.1484375,0
2021-03-08,35462.44921875,35827.30078125,35090.75,35275.75,35275.75,0
2021-03-09,35705.8984375,36077.80078125,35544.94921875,35865.6484375,35865.6484375,0
2021-03-10,36112.25,36176.8984375,35764.3515625,35938.30078125,35938.30078125,0
2021-03-12,36497.3515625,36497.3515625,35188.05078125,35496.6484375,35496.6484375,0
2021-03-15,35544.25,35544.25,34430.6484375,35182.55078125,35182.55078125,0
2021-03-16,35352.0,35405.05078125,34744.6015625,34804.6015625,34804.6015625,0
2021-03-17,34905.05078125,35100.5,34126.8515625,34229.25,34229.25,0
2021-03-18,34577.5,34759.8515625,33597.55078125,33856.80078125,33856.80078125,0
2021-03-19,33590.3984375,34355.3984375,33361.0,34161.6015625,34161.6015625,0
2021-03-22,34088.3984375,34148.8984375,33389.1484375,33603.44921875,33603.44921875,0
2021-03-23,33747.94921875,34360.05078125,33622.0,34184.3984375,34184.3984375,0
2021-03-24,33894.69921875,33970.6484375,33203.3984375,33293.25,33293.25,0
2021-03-25,33420.75,33550.1484375,32415.25,33006.44921875,33006.44921875,0
2021-03-26,33605.05078125,33610.6484375,33166.1015625,33318.19921875,33318.19921875,0
2021-03-30,33615.8984375,33990.80078125,33564.55078125,33875.1015625,33875.1015625,374200
2021-03-31,33764.80078125,33773.1015625,33151.80078125,33303.8984375,33303.8984375,0
2021-04-01,33588.0,33949.1484375,33208.75,33858.0,33858.0,0
